Country_name,Workers_Fatality_per_100000_per_year,GDP_per_cap
Afghanistan,19.9,633.569247
Australia,1.6,61979.89629
Austria,3.1,51122.42531
Bahrain,15.7,24855.21564
Bangladesh,26.4,1086.807079
Belize,6.7,4831.177552
Brunei Darussalam,10,40979.64194
Bulgaria,4.4,7851.265428
Cambodia,28.3,1094.576688
Chile,5.1,14528.32581
China,10.5,7590.016441
Cyprus,1.7,27194.39184
Denmark,2,60718.3927
Estonia,2.6,20147.77822
Finland,0.8,49842.71306
"Hong Kong SAR, China",0.1,40169.54364
Hungary,1.9,14026.57437
India,11.5,1581.510703
Indonesia,20.9,3491.929717
Islamic Republic of Iran,16.8,5442.874771
Iraq,14.2,6420.139809
Israel,14.6,37206.18294
Japan,3.2,36194.41561
Jordan,15.6,5422.570876
Kazakhstan,10.7,12601.62112
Kuwait,13.3,43593.70202
Kyrgyz Republic,18.6,1268.856604
Lao PDR,28.8,1793.470494
Lebanon,15.9,10057.88836
Lithuania,5.6,16489.72898
"Macao SAR, China",4.64,96038.05072
Malaysia,18.3,11307.06495
Maldives,13.91,7635.484151
Malta,3.5,22776.19469
Mexico,7.9,10325.64607
Mongolia,19.9,4129.373548
Myanmar,26,1203.844663
Nepal,29.9,701.6800634
Norway,1.9,97299.63607
Oman,18.9,19309.61245
Pakistan,20.7,1316.61411
Panama,1.3,11948.85114
Philippines,20,2872.512165
Qatar,15.1,96732.40255
Romania,4.7,10000.00262
Republic of Korea,4.23,27970.49515
Saudi Arabia,15.7,24406.47646
Singapore,1.6,56284.33144
Spain,1.8,29721.60149
Sri Lanka,18.3,3794.887586
Sweden,1,58898.92753
Switzerland,7,85616.5612
Tajikistan,18.6,1114.007483
Thailand,23.3,5977.380587
Turkey,6.2,10515.00782
Turkmenistan,17.9,9031.51157
United Arab Emirates,15.9,43962.71369
United Kingdom,0.8,46296.98467
United States,5.2,54629.49517
Uzbekistan,18,2036.691723
Viet Nam,27,2052.319084
