,enrolment,gni/cap
Afghanistan,3.743940115,2000
Australia,88.51281738,44700
"Iran, Islamic Rep.",57.94300079,16590
Japan,61.45932007,38120
Bangladesh,13.22793007,3330
Bhutan,10.91046047,7280
China,29.69644928,13170
"Hong Kong SAR, China",66.83704376,56570
India,24.68668938,5630
Armenia,46.10861969,8450
Azerbaijan,20.4384594,16920
Cambodia,15.83411026,3080
Georgia,33.05094147,9080
Indonesia,31.51226044,10190
Kazakhstan,55.29840851,21710
"Korea, Rep.",96.58496857,33650
Lao PDR,17.69779015,5060
Malaysia,37.20022964,24770
Marshall Islands,42.86175156,4700
Pakistan,9.81826973,5090
Philippines,33.84202957,8450
"Macao SAR, China",62.61355972,120140
Mongolia,62.26881027,11120
Myanmar,13.37804985,1183.1
Kyrgyz Republic,47.63526154,3220
Nepal,17.22529984,2410
New Zealand,79.0381012,36200
Russian Federation,76.14354706,22160
Thailand,51.23353958,14870
Vietnam,24.58324051,5350
Sri Lanka,18.7628994,10300
Turkey,79.33273315,19560
Uzbekistan,8.873809814,5830
Tajikistan,24.46810913,2660
